client_id,variation_credit
30379,-33
9717,10
10137,-36
4293,-35
30585,-42
11519,-14
30495,5
8581,-20
21739,-29
13486,19
5340,-8
11571,-18
12904,-4
25878,-32
18229,-47
1286,-11
4442,-42
31703,18
21302,11
13966,-32
11358,-43
105,-7
32288,-9
26118,5
17197,-36
6275,-41
14327,-10
8486,10
20016,-38
1813,10
17106,7
6785,-34
11512,14
9855,15
12476,-46
3744,-9
8071,-4
17931,-18
33327,-49
21671,-6
18000,-37
25214,-47
20246,18
25959,2
33147,-41
27589,-45
18195,-7
18019,-27
7280,-37
5394,-33
1693,-20
8351,11
28373,6
28835,-29
29974,-48
18776,10
31559,18
23422,16
25545,-29
6831,-41
1232,14
12093,-25
7939,-23
3398,-8
15959,8
7900,-42
5824,-14
27758,12
17198,-38
18965,-46
11205,-28
7668,12
14688,-7
14995,-32
4079,10
7034,-45
2834,-35
10096,9
9629,-16
19577,12
10473,10
13377,9
5972,15
15545,-44
1014,-16
813,14
9791,9
12499,-47
20355,-8
29594,16
4935,-31
29349,-43
30492,10
4259,15
8680,-8
13884,-8
7952,-10
8287,3
33089,-3
9216,-11
5828,-43
4203,2
22459,18
9346,-47
33860,-33
28422,11
22606,6
7267,-39
28382,4
4268,-28
1028,-21
6324,-18
6223,-40
14332,8
6424,-25
309,18
11139,-39
18819,-13
32168,1
23152,-28
15147,-33
1650,5
32377,-32
11954,-1
28878,12
5231,-50
27138,-33
28191,-44
1407,-36
11170,-47
32571,12
20126,2
6352,1
33315,-20
10767,16
4925,6
5322,-24
12166,-16
12180,-4
1784,-36
9428,-26
6303,13
12751,-42
21452,14
20933,-33
7821,-10
31148,-42
22258,-49
25454,-43
2302,-11
12693,-6
1439,-48
11775,15
10171,-23
23929,-49
1458,-2
18364,-8
33658,-8
20220,-46
17058,-1
23307,-33
4235,-35
1481,-22
32317,-28
16297,-40
3579,-25
24234,8
10711,-46
31610,15
27808,-40
32945,13
17365,14
8983,-41
16636,-32
6652,-1
32057,-21
9097,-50
19047,1
16291,-40
19895,-29
15814,-29
1214,-32
9916,-45
7520,0
15131,-39
22692,-26
6997,6
33098,-6
9153,-33
18810,-40
24593,8
27377,-44
22017,-9
28872,-2
3131,-34
6068,18
32348,0
2303,-14
28283,-50
4733,-38
27261,2
29004,10
15571,-45
17585,-2
20428,-18
1231,-1
32232,-4
14513,-6
16594,-31
14831,-24
8164,-7
12618,-32
27386,2
30406,-23
21108,-24
5871,-7
5835,-29
20079,-38
2935,-35
10244,-47
22232,-4
24911,13
2336,-31
14605,7
23652,-44
14129,-23
13725,-31
5216,-20
17567,6
22722,-12
6480,11
6032,-27
15611,3
5189,-7
505,-27
17857,8
8163,-22
9263,-29
12404,-16
30140,-36
25807,-23
12784,-15
18091,-32
28869,-20
26332,8
23920,-38
3476,-19
25184,-7
6687,-1
8246,-23
30068,-30
17438,-14
5172,-13
33279,-23
5361,-1
30429,-8
1367,-8
33119,-21
15526,0
22583,-24
23029,-22
22710,-4
1749,-3
28516,-43
4120,-18
25323,-41
30458,-46
11279,-41
20312,5
2237,-37
19499,-30
18403,5
5858,-48
14255,-5
31620,9
26518,-25
8607,2
27004,-42
29770,-13
8226,10
13726,-2
32327,-12
6552,-39
13112,-11
5549,-36
27744,-35
32368,10
32208,10
29169,12
32750,10
11917,-50
29060,9
31786,-4
27090,-26
14385,-41
16763,5
14103,-47
27140,8
5791,-8
33109,15
5328,-15
29356,3
33225,-47
33328,1
10029,-33
5421,-46
8872,-47
14151,-42
23747,-1
7700,-16
10990,-32
29006,19
19909,-2
13874,-3
17333,-4
13784,12
15528,-12
28551,-49
4556,-5
16246,-38
22281,-13
23776,12
24629,-24
28972,-29
19146,-2
9513,-45
13670,-11
29714,5
25283,-25
9503,-11
14915,-47
14437,-26
589,7
21487,-25
6456,7
22049,15
19803,-2
28698,-10
16742,5
18488,-15
17589,-17
30451,-29
14004,8
2976,-47
17470,7
23606,-26
33713,-30
14724,-29
323,-40
18331,-21
10532,-2
12558,-14
16501,-5
256,-26
15964,-19
32700,-33
32604,-30
9317,-45
19462,-1
21199,-31
32962,-31
23704,-23
5180,-18
32306,19
31900,-42
17479,-12
2949,-9
10216,-28
5018,10
28378,-19
5740,13
10292,18
19072,-49
5321,7
30222,10
341,-26
30299,4
8948,-8
10451,4
28536,-15
5664,-42
33077,-4
498,-5
8718,-25
32121,14
5965,15
18570,-36
24960,17
10793,-14
9226,-50
20251,3
25996,-9
25292,-20
7852,-49
8045,16
2596,18
603,-31
19257,17
9715,-47
8506,-50
15757,-34
12395,-12
32512,-12
20982,-45
20157,-38
24796,14
8583,17
3618,-21
22533,-1
21953,-24
12511,13
3264,-11
3625,-41
25272,-48
15312,-31
5886,-11
24776,-7
22264,-5
22051,18
12831,-26
3459,-11
28799,-7
31134,-27
4195,-46
17895,-19
31086,-32
27201,-29
12350,-16
30897,7
20646,-46
5161,-37
817,-10
22203,7
29684,-21
4377,-46
19517,-40
14331,-27
31029,-33
24880,13
19727,2
22278,-33
17510,-41
2857,16
27308,-18
4868,-19
12178,15
24675,19
22186,-45
31217,-20
23437,-3
4578,-13
20757,0
31139,0
14819,-15
7335,-29
1983,3
8484,-12
15418,-23
5548,-25
29584,-30
30639,9
15226,-23
31234,17
11742,-25
33608,-39
2181,-25
20727,-39
21191,8
27243,11
22788,-50
7951,-20
32079,-23
2627,-11
18032,-3
2903,18
14526,14
22807,-18
5522,-24
32049,-5
11401,-20
5156,-3
28951,10
2104,-8
2549,-12
28143,1
29508,16
16491,7
19347,-34
20238,-30
2687,-33
29213,0
29854,9
14223,-3
22605,8
31846,-30
12136,-21
28785,-28
2371,-28
32210,-22
9884,-41
25675,-7
643,-13
31154,-45
14692,19
28061,-23
6854,10
3782,-36
25586,-13
25919,-29
26764,7
3561,-28
33724,6
18082,-39
8599,8
32265,0
29659,-29
32624,17
14936,-16
25599,-47
10843,-38
16610,-45
5808,-15
24178,15
17355,-35
10023,-20
23809,-45
32069,-28
1671,14
9163,-4
16481,-28
31413,-26
7294,14
21869,-13
12135,-23
15263,-28
18239,-15
3367,15
27130,-28
33634,14
6857,-31
22668,-8
22144,15
7342,-11
6129,-37
33472,-32
29254,13
6315,-18
22306,-42
17444,-8
26314,2
18800,-21
2429,-37
24736,-33
16919,10
26733,-44
4643,-42
29603,-6
19777,0
8501,-47
2476,4
4283,-25
32119,11
12070,4
32509,-23
20608,6
32977,-22
24236,12
30576,-32
1799,11
13680,-42
15014,-23
3964,-13
17539,-43
7645,-33
29581,-43
23984,-36
26690,-34
10074,-24
7629,-14
25256,-37
31036,-32
11459,-38
6353,-24
29772,-50
14701,-47
26391,-24
29478,-47
32785,-12
22874,-27
6236,-20
31605,-29
538,-22
9045,-29
13135,-31
14188,3
6144,16
16495,-14
3503,-31
33700,-5
13905,-45
2372,10
18414,-32
13636,-46
26271,-35
17033,1
17817,-44
24255,-10
18876,7
3840,-25
17514,-36
7306,-31
6681,-36
19922,-27
22761,-29
30323,-34
18359,-33
33311,-8
17823,-5
25506,-19
26652,-42
32084,17
10863,-28
27361,-50
30903,-24
18699,-30
3824,-48
4725,18
8829,-22
11893,-30
27320,-39
281,-40
17884,-18
20589,-17
31783,-1
5647,12
29049,8
23388,-43
13211,-34
20835,-29
18340,-6
6672,-19
3543,-49
23349,9
27442,-31
12954,-30
8806,-10
8531,17
32680,-12
6055,-30
986,-14
28994,5
22226,-46
26393,-26
4009,17
7474,-44
229,-10
8173,9
14876,-34
23749,-16
3209,3
19031,-13
21732,-18
24141,-41
20794,-16
9321,-44
24142,-21
14257,-24
5601,5
12111,10
28036,-30
20063,-15
3766,4
13184,2
7724,2
9068,-45
10014,-19
21805,-1
2733,-16
32653,-16
4436,-14
20999,-39
31713,-42
7673,-6
12898,-5
1111,-28
4418,-24
26837,-50
29409,-38
5047,-2
11131,-29
19763,-21
16796,-46
25695,-41
4565,19
12918,9
28790,-10
31937,-11
1695,17
2486,-49
33711,18
13216,-20
21918,-50
3754,16
16377,-36
88,-27
33289,-26
1177,-40
4154,-43
481,-49
7992,18
32064,4
7734,2
8770,-22
4431,4
24044,18
10907,-32
6265,-33
15081,-17
4320,-37
11292,-4
6821,1
28548,-17
8747,14
33444,-44
25251,-2
3068,-38
17988,-50
9863,-28
21239,17
6126,13
16254,-29
5588,-35
5125,-7
30541,-2
13350,-14
15275,-30
10103,0
13579,-33
27123,3
22061,-17
21624,-19
1590,-27
29339,17
32579,-40
21061,-23
6343,-7
10481,-31
30415,-43
28101,-11
4322,-40
13914,-42
8976,13
19371,-27
15994,18
2297,-8
16961,-11
21661,-41
22465,-30
10321,-45
14090,-29
26492,8
17096,-30
15606,2
5032,-8
7,-38
24819,5
13257,-20
8618,-17
32936,-19
28426,-47
10308,-27
22414,-41
23394,14
18172,11
6521,-48
4153,3
24151,-9
21842,-15
11423,-35
17086,7
32638,-33
31517,-38
14316,-48
30641,-24
12846,12
3517,-46
15467,-46
28637,-16
13177,-28
30485,-5
253,-27
25716,-9
16892,-20
31495,-19
3086,-31
7825,-6
6301,-48
2564,-40
8392,-26
29587,-4
17267,-16
20357,-15
8092,-46
7887,-16
8391,-28
22399,19
33067,10
28395,-11
30719,10
3056,-12
26229,-16
30544,-12
14125,16
874,17
27353,13
7545,10
7906,17
8179,-30
11757,-37
4748,-22
14635,-16
7242,-37
11112,-44
17565,-2
18936,-39
6519,-50
20972,-2
3426,12
17263,-17
11533,-26
26662,-32
